#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,5.9502944444444426,Ch000_accrest_g,AMU
,,1,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.009086666666666686,Ch000_acpeak_g,AMU
,,2,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.001011666666666617,Ch000_acrms_g,AMU
,,3,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,31.704523333333352,Ch000_kurtosis_g,AMU
,,4,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.0019833333333332368,Ch000_mean_g,AMU
,,5,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.01358666666666673,Ch000_peak2peak_g,AMU
,,6,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.012230555555555772,Ch000_smax_g,AMU
,,7,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,5.389301111111122,Ch001_accrest_g,AMU
,,8,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.006992777777778074,Ch001_acpeak_g,AMU
,,9,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.0010088888888888394,Ch001_acrms_g,AMU
,,10,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,25.09097888888884,Ch001_kurtosis_g,AMU
,,11,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-19T21:44:00Z,0.00039722222222222253,Ch001_mean_g,AMU
