result,table,_start,_stop,_time,_value,_field,_measurement
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:01Z,5.871,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:03Z,5.452,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:05Z,5.976,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:07Z,6.61,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:09Z,5.93,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:11Z,5.63,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:13Z,5.777,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:15Z,5.378,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:17Z,5.48,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:19Z,5.708,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:21Z,5.641,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:23Z,6.109,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:25Z,5.619,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:27Z,5.417,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:29Z,5.615,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:31Z,5.438,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:33Z,5.895,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:35Z,5.301,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:37Z,5.817,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:39Z,5.748,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:41Z,6.225,Ch000_accrest_g,AMU
,0,2016-07-05T09:50:51.974Z,2021-10-05T09:50:51.973Z,2016-08-17T21:00:43Z,5.675,Ch000_accrest_g,AMU
